ID,NAME,Calories,Vegetarian,Gluten-free,Dairy-free,Cook-time,Meal-Type,Ingredients,Instructions
1,Vegan Chickpea Salad,350,TRUE,TRUE,TRUE,10,Lunch / Dinner,"chickpeas, olive oil, lemon juice, cucumber, tomato",Mix chickpeas with diced cucumber and tomato. Drizzle with olive oil and lemon juice. Toss and serve chilled
2,Tofu Stir Fry,400,TRUE,TRUE,TRUE,15,Dinner,"tofu, soy sauce, bell pepper, broccoli, ginger",Saut� tofu until golden. Add sliced veggies and grated ginger. Stir in soy sauce and cook until veggies are tender.
3,Grilled Chicken Bowl,450,Null,TRUE,TRUE,30,Lunch / Dinner,"chicken, rice, corn, broccoli, tomato, onion, avocado","Grill chicken, steam broccoli. Serve over rice with corn, tomato, onion, and avocado slices."
4,Lemon Garlic Salmon,500,Null,TRUE,TRUE,25,Dinner,"salmon, lemon, garlic, butter, dijon mustard, honey","Combine lemon juice, garlic, butter, mustard, and honey. Bake salmon with sauce at 375�F for 15�20 minutes."
5,Lentil Soup,320,TRUE,TRUE,TRUE,40,Lunch / Dinner,"lentils, curry powder, cumin, tomato, vegetable broth, collard greens","Simmer lentils with broth, tomato, and spices. Add collard greens and cook until tender."
6,Ground Turkey Tacos,430,Null,Null,TRUE,25,Dinner,"ground turkey, tortillas, tomato, onion, cilantro, lemon, avocado","Cook ground turkey with diced onion. Serve in tortillas with tomato, avocado, cilantro, and a squeeze of lemon."
7,Quinoa Power Bowl,410,TRUE,TRUE,TRUE,20,Lunch / Dinner,"quinoa, spinach, tomato, feta, olive oil","Cook and cool quinoa. Toss with chopped spinach, tomato, and feta. Drizzle with olive oil, honey, and balsamic vinegar."
8,Avocado Toast,300,TRUE,Null,TRUE,10,Breakfast,"whole grain bread, avocado, lemond juice, sea salt, black pepper","Toast bread. Mash avocado with lemon juice, a dash of salt and pepper. Then spread on toast."
9,Greek Yogurt Parfait,280,TRUE,TRUE,Null,5,Breakfast,"plain Greek yogurt, honey, granola, strawberries, blueberries","Layer yogurt, drizzle honey, then granola and mixed berries. Serve immediately."
10,Buddha Bowl,420,TRUE,TRUE,TRUE,30,Lunch / Dinner,"brown rice, roasted chickpeas, steamed broccoli, carrot ribbons, hummus","Assemble rice, veggies, chickpeas and a dollop of hummus. Drizzle with lemon-tahini."
11,Spinach & Feta Egg Muffins,230,TRUE,TRUE,Null,20,Breakfast,"eggs, spinach, feta cheese, salt, pepper",Whisk eggs with chopped spinach and feta. Pour into muffin tin and bake at 350�F for 18�20 min.
12,Overnight Oats,310,TRUE,TRUE,TRUE,5,Breakfast,"old-fashioned oats, almond milk, chia seeds, maple syrup, banana slices","Combine all in jar, stir, refrigerate overnight. Top with banana before eating."
13,Honey Mustard Chicken Skewers,460,Null,TRUE,TRUE,25,Lunch / Dinner,"chicken breast, honey, Dijon mustard, olive oil, garlic, salt, pepper","Cut chicken into 1-inch cubes. Whisk honey, mustard, oil, minced garlic, salt & pepper. Toss chicken in marinade and refrigerate 30 min. Thread onto skewers and grill 4�5 min per side until cooked through."
14,One-Pan Lemon Garlic Chicken,470,Null,TRUE,TRUE,30,Lunch / Dinner,"chicken thighs, lemon, garlic, olive oil, rosemary, salt, pepper","Preheat oven to 400 �F. In a baking dish, place chicken thighs skin-side up. Drizzle olive oil, juice of half a lemon, minced garlic, chopped rosemary, salt & pepper over chicken. Roast 25�30 min until golden and juices run clear"
15,Chicken & Vegetable Stir-Fry,440,Null,TRUE,TRUE,20,Lunch / Dinner,"chicken breast, bell pepper, broccoli, carrot, soy sauce, sesame oil, garlic, ginger","Slice chicken thinly and veggies into bite-size pieces. Heat oil in a wok; saut� garlic & ginger 30 sec. Add chicken and cook until no longer pink. Toss in vegetables, splash soy sauce, stir-fry 4�5 min until crisp-tender."
16,Slow-Cooker Shredded Chicken Tacos,480,Null,Null,TRUE,240,Dinner,"chicken breasts, tomato sauce, chicken broth, chili powder, cumin, onion powder, tortillas","Place chicken in slow cooker. Pour tomato sauce, broth, and spices over top. Cook on low 6�7 hr (or high 3 hr). Shred chicken with forks and serve in warm tortillas with your favorite toppings"
17,Chickpea Quinoa Bowl,400,TRUE,TRUE,TRUE,25,Lunch / Dinner,"Quinoa, canned chickpeas, cherry tomatoes, cucumber, red onion, olive oil, lemon juice, parsley","Firstly cook the quinoa, while the quinoa cooks rinse chickpeas, chop all veggies and  mix them all in a salad bowl. Chill the salad and portion with the quinoa when its time to eat. "
18,Turkey and Sweet Potato Skillet,450,Null,TRUE,TRUE,30,Lunch / Dinner,"Ground turkey, sweet potatoes, bell pepper, spinach, onion, garlic, olive oil, cumin, paprika","In a pan aut� onions and garlic, once the onions turn goldish brown add the turkey and let it cook. After two-three minutes add the potatoes & spices and let it cook until soft. Finally add the spinach and let it cook for another five minutes."
19,Lentil Curry with Brown Rice,390,TRUE,TRUE,TRUE,35,Lunch / Dinner,"Brown lentils, tomatoes, coconut milk, onion, garlic, ginger, curry powder, brown rice","In a pot, cook brown rice per package instructions (usually 2 cups water to 1 cup rice). In another pot, heat oil and saut� onion, garlic, and ginger until fragrant. Add curry powder, stirring for 1 minute. Stir in lentils, tomatoes, and coconut milk. Simmer covered for 25 minutes until lentils are soft. Add salt and pepper to taste. Serve curry over rice. Makes 4 servings."
20,Greek Chicken Bowls,480,Null,TRUE,Null,35,Lunch / Dinner,"Chicken breast, brown rice, cucumber, tomato, feta, yogurt, lemon, oregano, olive oil","Marinate chicken in olive oil, lemon juice, oregano, salt, and pepper for 15 minutes. Grill or pan-sear chicken until cooked through (165�F internal temp). Let rest, then slice. Cook brown rice per package instructions. Mix Greek yogurt with lemon juice and a pinch of oregano to make a sauce. Assemble bowls: rice, chicken, cucumber, tomatoes, feta, and yogurt sauce."
21,Tofu Stir-Fry with Veggies,370,TRUE,TRUE,TRUE,20,Lunch / Dinner,"Tofu, broccoli, bell pepper, carrots, GF soy sauce, sesame oil, garlic, ginger, cornstarch","Press tofu for 15 minutes. Cube and toss in cornstarch. Heat sesame oil in a pan. Saut� tofu until golden on all sides. Remove and set aside. Add more oil if needed and stir-fry broccoli, bell pepper, and carrots. Add garlic and ginger, cook for 1 minute. Add tofu back, pour soy sauce over. Mix and cook another 2�3 minutes. Serve warm."
22,Overnight Oats with Berries,300,TRUE,TRUE,TRUE,10,Breakfast,"Rolled oats, almond milk, chia seeds, maple syrup, berries","In a jar or container, combine oats, almond milk, chia seeds, and maple syrup. Stir well. Add berries on top or mix them in. Cover and refrigerate overnight. Enjoy chilled in the morning. Keeps 3�4 days in fridge."
23,Veggie Egg Muffins,200,TRUE,TRUE,Null,20,Breakfast,"Eggs, bell peppers, spinach, onion, feta, salt, pepper",Preheat oven to 375�F (190�C). Whisk eggs with salt and pepper in a bowl. Stir in chopped veggies and feta. Pour mixture into a greased muffin tin. Bake for 15�20 minutes until set. Cool and store in fridge for up to 5 days.
24,Banana Protein Pancakes,350,TRUE,TRUE,TRUE,15,Breakfast,"Banana, oat flour, protein powder, almond milk, flax egg, cinnamon","Mix flaxseed and water to make flax egg. Let sit 5 mins. Mash banana in a bowl. Add oat flour, protein powder, cinnamon, flax egg, and almond milk. Mix well. Heat a nonstick skillet over medium heat. Pour batter to form small pancakes. Cook for 2�3 mins per side. Serve with fruit or maple syrup"
